Province_State,Country_Region,Confirmed,Deaths,Recovered,Active,Tests,Hospitalized
Alabama,US,10700,450,,10250.0,136372,1317
Alaska,US,383,10,338,35.0,30649,
American Samoa,US,0,0,,0.0,105,
Arizona,US,12216,595,2979,8642.0,127750,1590
Arkansas,US,4236,97,3220,919.0,73215,497
California,US,72798,2957,,69841.0,1065592,
Colorado,US,20475,1062,3171,16242.0,111250,3695
Connecticut,US,34855,3125,5413,26317.0,142943,9389
Delaware,US,6952,247,2942,3763.0,34753,
Diamond Princess,US,49,0,,49.0,,
District of Columbia,US,6584,350,934,5300.0,31658,
Florida,US,42402,1827,,40575.0,594763,7835
Georgia,US,35427,1517,,33910.0,273904,6259
Grand Princess,US,103,3,,100.0,,
Guam,US,152,5,124,23.0,4262,
Hawaii,US,638,17,563,58.0,38365,81
Idaho,US,2293,69,1536,688.0,33128,214
Illinois,US,84694,3792,,80902.0,489359,
Indiana,US,25473,1619,,23854.0,154083,4389
Iowa,US,13289,306,5954,7029.0,85719,
Kansas,US,7518,188,422,6908.0,57628,704
Kentucky,US,6853,321,2546,3986.0,110634,1825
Louisiana,US,32662,2381,22608,7673.0,237904,
Maine,US,1515,66,943,506.0,23607,204
Maryland,US,34812,1809,2456,30547.0,173574,6404
Massachusetts,US,80497,5315,,75182.0,410032,8032
Michigan,US,48391,4714,22686,20991.0,308260,
Minnesota,US,12917,638,8149,4130.0,122035,1851
Mississippi,US,10090,465,6268,3357.0,100048,1616
Missouri,US,10404,551,,9853.0,124142,
Montana,US,462,16,430,16.0,23852,63
Nebraska,US,8912,103,,8809.0,49725,
Nevada,US,6476,331,198,5947.0,66672,
New Hampshire,US,3299,150,1234,1915.0,37216,319
New Jersey,US,141560,9714,15642,116204.0,441450,
New Mexico,US,5364,231,1434,3699.0,110289,886
New York,US,340661,27477,59193,253991.0,1258907,73963
North Carolina,US,16352,625,9115,6612.0,210457,
North Dakota,US,1647,40,969,638.0,48945,127
Northern Mariana Islands,US,19,2,12,5.0,3040,
Ohio,US,25721,1483,,24238.0,225854,4618
Oklahoma,US,4858,278,3559,1021.0,109127,848
Oregon,US,3416,134,1406,1876.0,83987,678
Pennsylvania,US,62101,4094,,58007.0,302869,
Puerto Rico,US,2329,115,,2214.0,2329,
Rhode Island,US,11835,462,886,10487.0,97922,1328
South Carolina,US,8030,362,6817,851.0,93140,1338
South Dakota,US,3732,39,2367,1326.0,25844,281
Tennessee,US,16370,273,8624,7473.0,292917,1388
Texas,US,43020,1172,23519,18329.0,587431,
Utah,US,6620,75,3406,3139.0,156786,553
Vermont,US,929,53,789,87.0,21676,
Virgin Islands,US,69,6,61,2.0,1197,
Virginia,US,26746,928,3554,22264.0,161392,5080
Washington,US,17512,974,,16538.0,256321,
West Virginia,US,1398,58,813,527.0,66680,
Wisconsin,US,10902,421,5673,4808.0,128013,1908
Wyoming,US,688,7,477,204.0,15059,67